[I 2025-01-04 20:56:52,661] A new study created in memory with name: no-name-5de5c7c5-cdf0-483c-b495-720f4a8e258b
[I 2025-01-04 20:57:28,765] Trial 0 finished with value: 1197987966.308119 and parameters: {'n_estimators': 200, 'max_depth': 23, 'min_samples_split': 10, 'max_samples': 0.8815632256049019, 'ccp_alpha': 0.0005253974050677141}. Best is trial 0 with value: 1197987966.308119.
[I 2025-01-04 21:05:12,951] Trial 13 finished with value: 1192374377.0435097 and parameters: {'n_estimators': 194, 'max_depth': 22, 'min_samples_split': 6, 'max_samples': 0.8005178769363046, 'ccp_alpha': 0.0011393273545676629}. Best is trial 10 with value: 1180998149.0428085.
[I 2025-01-04 21:05:50,088] Trial 14 finished with value: 1221542119.2473793 and parameters: {'n_estimators': 198, 'max_depth': 20, 'min_samples_split': 5, 'max_samples': 0.7711191647248586, 'ccp_alpha': 0.0007509070361870331}. Best is trial 10 with value: 1180998149.0428085.
[I 2025-01-04 21:06:32,611] Trial 15 finished with value: 1180875696.9381354 and parameters: {'n_estimators': 203, 'max_depth': 25, 'min_samples_split': 7, 'max_samples': 0.8280716940886377, 'ccp_alpha': 0.0014408915016386095}. Best is trial 15 with value: 1180875696.9381354.
[I 2025-01-04 21:07:16,717] Trial 16 finished with value: 1181506053.704461 and parameters: {'n_estimators': 210, 'max_depth': 26, 'min_samples_split': 7, 'max_samples': 0.8228523185680305, 'ccp_alpha': 0.0014442680332422022}. Best is trial 15 with value: 1180875696.9381354.
[I 2025-01-04 21:07:59,567] Trial 17 finished with value: 1183589205.3354292 and parameters: {'n_estimators': 203, 'max_depth': 30, 'min_samples_split': 8, 'max_samples': 0.8978091959115517, 'ccp_alpha': 0.0010280473556476286}. Best is trial 15 with value: 1180875696.9381354.
[I 2025-01-04 21:08:39,864] Trial 18 finished with value: 1181381776.6936445 and parameters: {'n_estimators': 193, 'max_depth': 25, 'min_samples_split': 7, 'max_samples': 0.8319442797618359, 'ccp_alpha': 0.001506885565045845}. Best is trial 15 with value: 1180875696.9381354.
[I 2025-01-04 21:09:25,123] Trial 19 finished with value: 1180229964.8055341 and parameters: {'n_estimators': 205, 'max_depth': 27, 'min_samples_split': 6, 'max_samples': 0.8144427815325481, 'ccp_alpha': 0.0012869828453181608}. Best is trial 19 with value: 1180229964.8055341.
[I 2025-01-04 21:10:11,297] Trial 20 finished with value: 1181540488.4794643 and parameters: {'n_estimators': 206, 'max_depth': 28, 'min_samples_split': 6, 'max_samples': 0.8172239947645649, 'ccp_alpha': 0.00165742616163338}. Best is trial 19 with value: 1180229964.8055341.
[I 2025-01-04 21:10:56,192] Trial 21 finished with value: 1182852306.2022715 and parameters: {'n_estimators': 205, 'max_depth': 27, 'min_samples_split': 6, 'max_samples': 0.787178397090202, 'ccp_alpha': 0.0012844823235726261}. Best is trial 19 with value: 1180229964.8055341.
[I 2025-01-04 21:11:39,395] Trial 22 finished with value: 1186474653.3555624 and parameters: {'n_estimators': 210, 'max_depth': 24, 'min_samples_split': 7, 'max_samples': 0.7402682756858052, 'ccp_alpha': 0.0010775076344996925}. Best is trial 19 with value: 1180229964.8055341.
[I 2025-01-04 21:12:23,598] Trial 23 finished with value: 1179561316.2361531 and parameters: {'n_estimators': 202, 'max_depth': 27, 'min_samples_split': 6, 'max_samples': 0.8175144604347, 'ccp_alpha': 0.0012976124652322662}. Best is trial 23 with value: 1179561316.2361531.
[I 2025-01-04 21:13:06,085] Trial 24 finished with value: 1186028712.1150186 and parameters: {'n_estimators': 202, 'max_depth': 30, 'min_samples_split': 8, 'max_samples': 0.8163582165589605, 'ccp_alpha': 0.0015017674905798907}. Best is trial 23 with value: 1179561316.2361531.
[I 2025-01-04 21:13:51,065] Trial 25 finished with value: 1181254194.1176233 and parameters: {'n_estimators': 205, 'max_depth': 27, 'min_samples_split': 6, 'max_samples': 0.8409292877388547, 'ccp_alpha': 0.0013547170686150928}. Best is trial 23 with value: 1179561316.2361531.
[I 2025-01-04 21:14:33,372] Trial 26 finished with value: 1180869656.5157676 and parameters: {'n_estimators': 202, 'max_depth': 28, 'min_samples_split': 7, 'max_samples': 0.8540808697432898, 'ccp_alpha': 0.0017444298548222243}. Best is trial 23 with value: 1179561316.2361531.
[I 2025-01-04 21:15:17,350] Trial 27 finished with value: 1179296141.8982143 and parameters: {'n_estimators': 201, 'max_depth': 28, 'min_samples_split': 6, 'max_samples': 0.8570464804910459, 'ccp_alpha': 0.0017872932500344527}. Best is trial 27 with value: 1179296141.8982143.
[I 2025-01-04 21:16:00,619] Trial 28 finished with value: 1188484597.587453 and parameters: {'n_estimators': 201, 'max_depth': 29, 'min_samples_split': 6, 'max_samples': 0.7010170282452204, 'ccp_alpha': 0.0019920992599479223}. Best is trial 27 with value: 1179296141.8982143.
[I 2025-01-04 21:16:42,006] Trial 29 finished with value: 1178907868.073732 and parameters: {'n_estimators': 199, 'max_depth': 27, 'min_samples_split': 6, 'max_samples': 0.8786272909717915, 'ccp_alpha': 0.0008503414575224985}. Best is trial 29 with value: 1178907868.073732.
